Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride,Year
6/28/2018,179,12:35,22.78,BfCr01,365.5,19.72,8.29,0.18,107.75,,,2018
7/3/2018,184,11:45,28.33,BfCr01,451.8,24.78,8.43,0.22,7.33,,,2018
7/11/2018,192,11:25,23.33,BfCr01,412.4,22.9,8.41,0.2,,10.64,,2018
7/26/2018,207,9:24,21.11,BfCr01,416.2,22.4,8.19,0.2,,7.37,,2018
8/7/2018,219,10:55,26.11,BfCr01,431.3,23.6,8.28,0.21,,7.68,,2018
9/3/2018,246,16:28,32.78,BfCr01,448.7,28.5,8.32,0.21,,10.45,,2018
6/4/2019,521,9:14,17.78,BfCr01,427.7,15.6,8.25,0.21,,9.19,18.21,2019
6/12/2019,528,9:36,19.44,BfCr01,414.7,17.4,8.24,0.2,6.06,8.08,14.4,2019
6/28/2019,544,9:37,23.89,BfCr01,381.3,21.7,8.36,0.18,,7.96,20.4,2019
7/4/2019,550,10:09,23.33,BfCr01,371.8,23.8,8.53,0.18,,7.72,20.23,2019
7/11/2019,557,9:30,24.44,BfCr01,380.7,24.2,8.44,0.18,30.16,7.24,18.41,2019
7/18/2019,564,9:04,21.67,BfCr01,359.1,23,8.38,0.17,19.63,7.92,16.53,2019
7/25/2019,571,8:46,16.11,BfCr01,423,19.7,8.32,0.2,,8.12,14.58,2019
8/1/2019,578,9:02,21.11,BfCr01,398.3,22,8.3,0.19,16.3,6.8,11.81,2019
8/8/2019,585,8:22,18.89,BfCr01,416,21.6,8.43,0.2,16.75,6.77,20.98,2019
8/22/2019,599,8:16,21.67,BfCr01,430.5,22.5,8.13,0.21,17.63,6,,2019
8/30/2019,607,12:54,27.78,BfCr01,394,22.2,8.51,0.19,,9.08,,2019
6/5/2020,887,9:38,20.56,BfCr01,379.8,20.1,8.84,0.18,,7.12,20.47,2020
6/9/2020,891,9:28,21.67,BfCr01,424.1,18.9,8.03,0.2,,7.82,,2020
6/17/2020,899,8:04,16.67,BfCr01,438.3,18.9,8.13,0.21,13.5,7.57,,2020
6/23/2020,905,7:44,21.11,BfCr01,429.2,21.4,8.08,0.21,,6.61,,2020
6/29/2020,911,8:14,19.44,BfCr01,426.6,21.6,8.11,0.2,12.25,6.8,13.74,2020
7/8/2020,920,7:44,19.44,BfCr01,303,22.6,7.93,0.14,,6.21,9.45,2020
7/29/2020,941,13:31,30,BfCr01,379.6,27.9,8.48,0.18,13.5,9.72,30.06,2020
8/4/2020,947,8:40,20,BfCr01,443.7,22.5,8.11,0.21,12,5.63,35.93,2020
8/12/2020,955,8:39,22.22,BfCr01,482.8,23.5,8,0.23,13.6,5.71,33.8,2020
8/19/2020,962,15:46,26.11,BfCr01,474.8,26,8.5,0.23,43.73,7.44,33.38,2020
8/26/2020,969,11:34,22.78,BfCr01,466.7,21.1,8.1,0.22,12.5,6.5,40.22,2020
9/2/2020,976,11:31,24.44,BfCr01,394.9,23.1,8.16,0.19,40.1,6.17,24.29,2020
9/9/2020,983,15:25,29.44,BfCr01,410.3,25.8,8.27,0.2,29.3,8.71,23.44,2020
9/16/2020,990,11:33,17.33,BfCr01,449.4,16,8.81,0.22,14.78,9.05,30.39,2020
6/28/2018,179,13:10,22.78,BfCr02,406.9,19.83,8.29,0.2,124.5,,,2018
7/3/2018,184,11:00,28.33,BfCr02,499.6,24.44,8.38,0.24,8.63,,,2018
7/11/2018,192,11:45,25,BfCr02,450.8,24.2,8.4,0.22,,10.04,,2018
7/26/2018,207,8:38,21.11,BfCr02,453.4,21.5,8.29,0.22,,7.56,,2018
8/7/2018,219,10:40,26.11,BfCr02,484.5,24.7,8.33,0.23,,8.37,,2018
9/3/2018,246,16:18,32.78,BfCr02,493,28.4,8.3,0.24,,9.49,,2018
6/4/2019,521,9:01,17.78,BfCr02,445.5,16.9,8.68,0.22,,8.96,19.72,2019
6/12/2019,528,9:22,19.44,BfCr02,428.6,18.8,8.53,0.21,5.82,8.1,14.99,2019
6/28/2019,544,9:24,23.89,BfCr02,414,22.7,8.79,0.2,,8.35,19.93,2019
7/4/2019,550,9:45,23.33,BfCr02,398.1,24.8,8.98,0.19,,8.17,18.34,2019
7/11/2019,557,8:55,24.44,BfCr02,398,25.5,8.86,0.19,20.3,7.19,18.8,2019
