Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
12/3/2020,1068,10:13,1.11,BfCr02,488.5,2.1,8.16,0.23,,18.96,56.5
12/3/2020,1068,10:39,1.11,WrCr,362.3,2.8,7.97,0.17,,13.15,7.8
12/3/2020,1068,10:43,1.11,NoFr03,469.2,1.5,7.96,0.22,,15.37,25.85
12/3/2020,1068,10:49,1.11,NoFr02,741.9,1.8,8.12,0.36,,19.68,162.56
12/3/2020,1068,10:58,1.11,NoFr01,844,2,8.17,0.41,,15.74,153.38
12/3/2020,1068,11:04,1.11,ShCr02,1512,2.6,8.28,0.75,,15.03,381.81
12/3/2020,1068,11:11,1.11,ShCr06,1685,2.5,8.33,0.84,,15.67,440.05
12/3/2020,1068,11:25,1.11,ChCr01,1712,3.1,6.57,0.86,,22.25,180.78
12/3/2020,1068,11:42,1.11,OhRv02,313.8,7.1,7.44,0.15,,12.75,53.28
12/3/2020,1068,12:03,2.78,WeCr03,592.2,3.3,7.85,0.29,,27.52,126.95
12/3/2020,1068,12:10,2.78,LrCr,721,3.3,7.81,0.35,,16.61,173.09
12/3/2020,1068,12:20,2.78,WdCr,800.8,4.1,8.05,0.39,,13.18,191.1
12/3/2020,1068,12:31,2.78,WeCr07,647.5,2.9,8.15,0.31,,18.25,169.6
12/3/2020,1068,12:40,2.78,WeCr09,519.9,3.1,8.17,0.25,,15,68.16
12/3/2020,1068,12:49,2.78,PrCr,638.2,3.1,8.12,0.31,,15.25,106.63
12/3/2020,1068,12:59,2.78,FdCr,673.8,3.6,8.19,0.33,,15.17,139.98
12/9/2020,1074,12:42,2.29,FdCr,678.8,3.2,8.17,0.33,,20.12,100.02
12/9/2020,1074,12:51,2.29,PrCr,598.8,3.9,8.11,0.29,,17.57,60.16
12/9/2020,1074,13:00,2.29,WeCr09,488.6,3.1,8.3,0.23,,16.33,48.78
12/9/2020,1074,13:09,3.89,WeCr07,627.7,3.4,8.33,0.3,,16.83,98.22
12/9/2020,1074,13:20,3.89,WdCr,716.7,4.8,8.11,0.35,,13.16,122
12/9/2020,1074,13:26,3.89,LrCr,656.6,4,8.65,0.35,,17.27,93.69
12/9/2020,1074,13:33,3.89,WeCr03,549.1,3.4,8.38,0.26,,15.46,70.73
12/9/2020,1074,13:59,6.11,OhRv02,299.1,5.3,8.32,0.14,,31.13,50.14
12/9/2020,1074,14:10,6.11,ChCr01,2330,5.3,6.38,1.19,,10.57,138.41
12/9/2020,1074,14:26,6.11,ShCr06,1670,4.4,8.26,0.84,,21.47,393.61
12/9/2020,1074,14:32,6.11,ShCr02,1499,4.4,8.28,0.75,,15.47,318.61
12/9/2020,1074,14:38,6.11,NoFr01,805.3,4.6,7.94,0.39,,14.63,101.12
12/9/2020,1074,14:44,6.11,NoFr02,631.6,4.2,8.32,0.31,,14.97,96.76
12/9/2020,1074,14:50,6.11,NoFr03,471.6,3.5,8.3,0.23,,14.86,28.61
12/9/2020,1074,14:53,6.11,WrCr,417.7,4.2,8.19,0.2,,12.91,7.41
12/9/2020,1074,15:11,6.11,BfCr02,508.5,3.5,8.12,0.24,,36.52,49.51
12/9/2020,1074,15:23,6.11,CmCr,487.8,4.3,8.23,0.23,,15.86,28.74
12/16/2020,1081,7:48,-1.11,WrCr,449.2,3.1,8.01,0.23,,13.78,8.75
12/16/2020,1081,7:52,-1.11,NoFr03,508,1.4,8.18,0.24,,13.55,26.49
12/16/2020,1081,7:57,-1.11,NoFr02,655.4,1.3,8.09,0.33,,12.81,81.65
12/16/2020,1081,8:04,-1.11,NoFr01,863.4,1.6,8.02,0.42,,12.7,92.99
12/16/2020,1081,8:10,-1.11,ShCr02,953,1.2,8.14,0.47,,12.9,123.26
12/16/2020,1081,8:16,-1.11,ShCr06,1218,1.6,8.17,0.64,,12.71,184.62
12/16/2020,1081,8:30,-1.11,ChCr01,2996,3.4,5.27,1.13,,9.15,156.83
12/16/2020,1081,8:43,-1.11,OhRv02,235.6,4.8,7.88,0.11,,11.74,61.94
12/16/2020,1081,9:02,0.56,WeCr03,590.8,2.1,7.88,0.29,,12.15,87.62
12/16/2020,1081,9:08,0.56,LrCr,708.3,1.7,8.05,0.35,,12.89,109.66
12/16/2020,1081,9:26,0.56,WeCr07,743.7,1.6,8.13,0.37,,13.19,158.05
12/16/2020,1081,9:33,0.56,WeCr09,483.3,1.7,8.01,0.23,,12.71,64.43
12/16/2020,1081,9:42,0.56,PrCr,620.2,2,8.04,0.31,,12.79,71.11
12/16/2020,1081,9:52,0.56,FdCr,702.8,1.8,8.14,0.35,,13.07,113.56
12/16/2020,1081,10:18,0.56,BfCr02,532.5,2.7,8.26,0.26,,18.21,72.75
12/16/2020,1081,10:29,0.56,CmCr,485.1,1.7,8.08,0.23,,13.25,33.25
12/21/2020,1086,12:41,3.33,BfCr02,545.9,3,7.88,0.26,,24.36,96.95
12/21/2020,1086,12:54,3.33,CmCr,493.5,3.7,8.01,0.24,,17.9,35.18
12/21/2020,1086,13:15,3.33,WrCr,350.3,3.7,8.03,0.17,,23.94,7.76
12/21/2020,1086,13:19,3.33,NoFr03,437.8,3.5,8.02,0.21,,14.73,38.89
