Site,Conductivity,Chloride,,,,
BfCr0219,445.5,19.72,,,,
BfCr0219,428.6,14.99,,,,
BfCr0219,414,19.93,,,,
BfCr0219,398.1,18.34,,,,
BfCr0219,398,18.8,,,,
BfCr0219,378,18.57,,,,
BfCr0219,449.5,15.74,,,,
BfCr0219,441.5,12.88,,,,
BfCr0219,431.9,25.1,,,,
BfCr0219,457.5,,,,,
BfCr0219,395,,,,,
BfCr0220,465.6,12.54,,,,
BfCr0220,476.2,14.16,,,,
BfCr0220,485.5,32.51,,,,
BfCr0220,466.8,35.71,,,,
BfCr0220,500,47.86,,,,
BfCr0220,462.2,30.86,,,,
BfCr0220,539,61.55,,,,
BfCr0220,623,32.34,,,,
BfCr0220,480.8,42.46,,,,
BfCr0220,430.9,36.75,,,,
BfCr0220,518.6,,,,,
BfCr0220,543.2,,,,,
BfCr0220,588,,,,,
BfCr0218,406.9,,,,,
BfCr0218,499.6,,,,,
BfCr0218,450.8,,,,,
BfCr0218,453.4,,,,,
BfCr0218,484.5,,,,,
BfCr0218,493,,,,,
BfCr0221,468.3,22.97,,,,
BfCr0221,498.7,32.56,,,,
BfCr0221,456.6,59.29,,,,
BfCr0221,418.6,23.16,,,,
BfCr0221,606,25.08,,,,
BfCr0221,487.7,20.38,,,,
BfCr0221,359.3,15.11,,,,
BfCr0221,432.5,17.14,,,,
BfCr0221,326,8.79,,,,
BfCr0221,435.3,16.2,,,,
BfCr0221,403.7,15.83,,,,
BfCr0221,510.1,20.58,,,,
