Site,Conductivity,Chloride
ChCr0119,631,34.53
ChCr0119,788,60.8
ChCr0119,988,77.81
ChCr0119,894,70.49
ChCr0119,1089,69.32
ChCr0119,1324,73.97
ChCr0119,1555,89.99
ChCr0119,1757,144.52
ChCr0119,2244,
ChCr0119,2457,
ChCr0119,1216,
ChCr0120,1126,70.74
ChCr0120,1295,
ChCr0120,1502,
ChCr0120,1743,
ChCr0120,1471,68.9
ChCr0120,1754,83.42
ChCr0120,2534,108.41
ChCr0120,3186,133.43
ChCr0120,4460,141.34
ChCr0120,5120,156.99
ChCr0120,4916,199.23
ChCr0120,1734,95.77
ChCr0120,3231,135.32
ChCr0120,4030,139.95
ChCr0120,4436,158.2
ChCr0120,3234,120.38
ChCr0121,2049,120.45
ChCr0121,789,51.88
ChCr0121,1093,71.8
ChCr0121,1392,55.84
