Site,Conductivity,Chloride
CmCr19,291.5,4.98
CmCr19,416.3,16.78
CmCr19,414.7,16.19
CmCr19,296.4,13.1
CmCr19,423.9,8.01
CmCr19,429.9,
CmCr20,426.6,30.84
CmCr20,457.7,
CmCr20,473.7,
CmCr20,461,9.29
CmCr20,474.7,25.06
CmCr20,507.4,29.7
CmCr20,496.2,25.37
CmCr20,507.9,39.91
CmCr20,463.2,19.04
CmCr20,399.6,24.45
CmCr20,516.4,36.72
CmCr20,499.1,27.45
CmCr21,491.5,18.96
CmCr21,481.3,18.59
CmCr21,501.4,37.9
CmCr21,509.8,15.37
CmCr21,515.2,14.82
CmCr21,433.9,10.02
CmCr21,401.6,9.69
CmCr21,415.8,11.01
CmCr21,449,10.38
