Site,Conductivity,Chloride
CsCr19,665,98.55
CsCr19,835,131.22
CsCr19,875,139
CsCr19,892,93.6
CsCr19,896,106.31
CsCr19,884,57.56
CsCr19,1057,88.5
CsCr19,1138,96.04
CsCr19,1261,
CsCr19,1211,
CsCr19,833,
CsCr20,767,60.61
CsCr20,909,
CsCr20,983,
CsCr20,1037,
CsCr20,996,72.93
CsCr20,1161,75.7
CsCr20,1242,133.07
CsCr20,1370,160.94
CsCr20,848,73.53
CsCr20,1783,174
CsCr20,1357,174.4
CsCr20,807,115.63
CsCr20,1078,132.86
CsCr20,1054,123.06
CsCr20,1325,130.33
CsCr20,1272,114.52
CsCr21,734,102.67
CsCr21,1083,152.28
CsCr21,1051,151
CsCr21,723,82.8
CsCr21,1137,131.23
CsCr21,720,85.32
CsCr21,921,117.4
CsCr21,1084,128.65
CsCr21,182,121.23
CsCr21,1033,121.17
