Site,Conductivity,Chloride
FdCr19,481.8,55.49
FdCr19,680,132.01
FdCr19,635,108.81
FdCr19,565,74.45
FdCr19,567,58.4
FdCr19,678,56.69
FdCr19,712,94.78
FdCr19,735,
FdCr20,621,57.34
FdCr20,671,
FdCr20,685,
FdCr20,704,
FdCr20,655,53.16
FdCr20,706,65.37
FdCr20,544,74.5
FdCr20,730,114.43
FdCr20,784,147.67
FdCr20,924,175.72
FdCr20,750,155.96
FdCr20,551,73.55
FdCr20,687,85.47
FdCr20,708,87.73
FdCr20,781,125.8
FdCr20,464.8,70.75
FdCr21,710,119.31
FdCr21,682,120.39
FdCr21,716,94.02
FdCr21,734,90
FdCr21,629,71.02
FdCr21,718,82.35
FdCr21,687,83.83
FdCr21,720,96.01
FdCr21,693,82.87
FdCr21,670,76.03
FdCr21,557.8,57.53
FdCr21,651,79.84
FdCr21,659,85.96
FdCr21,681,95.06
FdCr21,632,87.04
