Site,Conductivity,Chloride
NoFr0219,529.4,45.1
NoFr0219,517.2,37.69
NoFr0219,483.4,42.83
NoFr0219,477.6,33.09
NoFr0219,498.2,45.05
NoFr0219,541.9,27.06
NoFr0219,546.6,30.89
NoFr0219,481.1,28.81
NoFr0219,575,
NoFr0219,663,
NoFr0220,479.6,62.9
NoFr0220,522.2,
NoFr0220,550.7,
NoFr0220,555.6,
NoFr0220,507.8,29.4
NoFr0220,493.1,29.63
NoFr0220,483.8,63.19
NoFr0220,593,78.47
NoFr0220,520.8,89.91
NoFr0220,617,82.01
NoFr0220,571,93.31
NoFr0220,495.4,53.77
NoFr0220,608,64.46
NoFr0220,647,71.99
NoFr0220,650,81.31
NoFr0220,651,80.89
NoFr0221,553.3,69.67
NoFr0221,552,76.56
NoFr0221,516.9,126.24
NoFr0221,622,63.46
NoFr0221,655,63.49
NoFr0221,559,40.89
NoFr0221,426,24.81
NoFr0221,538,49.14
NoFr0221,581,51.17
NoFr0221,320.5,21.27
NoFr0221,435.1,33.33
NoFr0221,519.8,42.44
NoFr0221,519.6,39.88
NoFr0221,566,45.18
