Site,Conductivity
NoFr0319,413.20
NoFr0319,378.90
NoFr0319,388.60
NoFr0319,387.80
NoFr0319,360.80
NoFr0319,420.20
NoFr0319,441.00
NoFr0319,444.70
NoFr0319,447.10
NoFr0319,458.40
NoFr0319,445.40
NoFr0319,495.20
NoFr0320,418.60
NoFr0320,430.80
NoFr0320,445.90
NoFr0320,441.80
NoFr0320,401.50
NoFr0320,384.40
NoFr0320,384.20
NoFr0320,454.00
NoFr0320,474.20
NoFr0320,469.50
NoFr0320,463.80
NoFr0320,409.60
NoFr0320,461.80
NoFr0320,476.20
NoFr0320,847.00
NoFr0320,465.70
NoFr0318,397.70
NoFr0318,461.90
NoFr0318,439.90
NoFr0318,439.20
NoFr0318,451.40
NoFr0318,445.80
