Site,Conductivity,Chloride,Ohio River
OhRv0119,231.6,12,2019
OhRv0119,221.1,7.97,2019
OhRv0119,220.4,15.31,2019
OhRv0119,190.2,14.25,2019
OhRv0119,215.2,9.87,2019
OhRv0119,228.3,23.83,2019
OhRv0119,245.5,15.54,2019
OhRv0119,254.1,28.44,2019
OhRv0119,256.4,25.06,2019
OhRv0119,296.9,21.08,2019
OhRv0119,266.4,16.28,2019
OhRv0119,273.5,15.89,2019
OhRv0119,308.1,22.78,2019
OhRv0119,313.6,25.28,2019
OhRv0119,384,,2019
OhRv0119,398.6,,2019
OhRv0119,409.9,,2019
OhRv0119,368.8,,2019
OhRv0120,341.4,,2020
OhRv0120,325,,2020
OhRv0120,371,25.76,2020
OhRv0120,405.7,25.41,2020
OhRv0120,434.8,39.65,2020
OhRv0120,330,49.13,2020
OhRv0120,402.2,48.88,2020
OhRv0120,407.2,48.94,2020
OhRv0120,443,67.64,2020
OhRv0120,411.3,57.45,2020
OhRv0120,399.2,34.48,2020
OhRv0120,388.6,,2020
OhRv0118,360.9,,2018
OhRv0118,338,,2018
OhRv0118,341.7,,2018
OhRv0118,332.2,,2018
OhRv0118,371.3,,2018
OhRv0118,124,,2018
OhRv0118,378.6,,2018
OhRv0118,361.6,,2018
OhRv0121,367.5,65.45,2021
OhRv0121,349.4,62.91,2021
OhRv0121,351.6,30.89,2021
OhRv0121,365.9,36.01,2021
OhRv0121,328.9,25.69,2021
OhRv0121,365.8,38.1,2021
OhRv0121,365,35.41,2021
OhRv0121,214.4,25.25,2021
OhRv0121,214.9,20.25,2021
OhRv0121,374.9,38.43,2021
OhRv0121,340.6,30.2,2021
OhRv0121,295.5,27.33,2021
OhRv0121,363,38.83,2021
OhRv0121,379.1,30.89,2021
