Site,Conductivity,Chloride
OhRv0219,233.4,10.48
OhRv0219,219.1,5.34
OhRv0219,221.4,8.63
OhRv0219,194,7.23
OhRv0219,214.1,6.27
OhRv0219,245.2,25.69
OhRv0219,241.6,8.29
OhRv0219,251.5,25.25
OhRv0219,296.5,23.79
OhRv0219,281.4,14.14
OhRv0219,275.1,19.28
OhRv0219,283.8,22.92
OhRv0219,308.3,19.99
OhRv0219,337.3,27.13
OhRv0219,396,
OhRv0219,389.9,
OhRv0219,403.8,
OhRv0219,404.4,
OhRv0219,371.6,
OhRv0220,341,41.08
OhRv0220,324.4,
OhRv0220,346,
OhRv0220,367.7,
OhRv0220,355,26.44
OhRv0220,433.7,26.77
OhRv0220,326.8,38.45
OhRv0220,402.1,49.76
OhRv0220,416.2,49.36
OhRv0220,443.2,49.59
OhRv0220,409.4,69.76
OhRv0220,374.8,60.45
OhRv0220,400.9,41.47
OhRv0220,407.9,42.97
OhRv0220,370.7,42.47
OhRv0220,389.8,35.88
OhRv0221,366.7,56.17
OhRv0221,351,68.83
OhRv0221,346.4,27.96
OhRv0221,359.8,34.09
OhRv0221,324.6,24.08
OhRv0221,311,37.2
OhRv0221,366.3,38.21
OhRv0221,240.7,25.59
OhRv0221,299.1,23.87
OhRv0221,371.7,35.87
OhRv0221,281.2,30.99
OhRv0221,326.1,32.62
OhRv0221,255.8,28.39
OhRv0221,332.6,39.37
OhRv0221,380,32.25
