Site,Conductivity,Chloride
PrCr19,546.8,29.99
PrCr19,513.3,30.96
PrCr19,513.2,42.89
PrCr19,477,31.05
PrCr19,483.5,27.7
PrCr19,477.9,33.62
PrCr19,467.2,21.38
PrCr19,454,25.22
PrCr19,479.3,22.05
PrCr19,525,23.75
PrCr19,561,23.73
PrCr19,580,
PrCr19,448.8,
PrCr20,506.9,43.3
PrCr20,556,
PrCr20,577.2,
PrCr20,558,
PrCr20,548.7,19.75
PrCr20,574,21.7
PrCr20,464.6,37.91
PrCr20,567,46.1
PrCr20,559,52.61
PrCr20,575,57.67
PrCr20,579,60.21
PrCr20,466.3,34.55
PrCr20,604,34.53
PrCr20,640,42.25
PrCr20,658,53.14
PrCr20,615,43.88
PrCr21,533,56.31
PrCr21,531,56.55
PrCr21,603,42.45
PrCr21,617,42.52
PrCr21,505.9,33.58
PrCr21,523,30.25
PrCr21,547,28.82
PrCr21,565,36.03
PrCr21,577,31.57
PrCr21,581,30.23
PrCr21,487.5,27.63
PrCr21,538.3,40.71
PrCr21,556.3,34.22
PrCr21,611,44.51
