Site,Conductivity,Chloride
ShCr0219,1445,235.39
ShCr0219,1134,154.97
ShCr0219,894,143.47
ShCr0219,730,88.38
ShCr0219,653,48.25
ShCr0219,685,41.43
ShCr0219,921,83.27
ShCr0219,687,29.85
ShCr0219,1200,156.3
ShCr0219,1543,270.15
ShCr0219,1162,
ShCr0219,1438,
ShCr0219,2180,
ShCr0220,834,88.96
ShCr0220,717,
ShCr0220,842,
ShCr0220,1291,
ShCr0220,1472,151.46
ShCr0220,880,51.4
ShCr0220,2464,421.41
ShCr0220,1451,195.4
ShCr0220,1020,108.75
ShCr0220,3369,554.77
ShCr0220,1933,356.83
ShCr0220,1047,165.38
ShCr0220,1553,228.04
ShCr0220,1219,117.05
ShCr0220,1143,113.13
ShCr0220,1366,159.54
ShCr0218,759,
ShCr0218,1223,
ShCr0218,1144,
ShCr0218,1084,
ShCr0218,1181,
ShCr0218,1205,
ShCr0221,829,95.94
ShCr0221,539.6,90.43
ShCr0221,945,153.77
ShCr0221,1454,173.51
ShCr0221,1719,194.36
ShCr0221,1664,249.36
ShCr0221,730,60.5
ShCr0221,1689,226.79
ShCr0221,2224,342.75
ShCr0221,635,51.96
ShCr0221,1021,108.21
ShCr0221,1195,120.6
ShCr0221,1300,154.49
