Site,Conductivity,Chloride,Wheeling Creek
WeCr0319,446.1,21.51,2019
WeCr0319,462.5,27.39,2019
WeCr0319,434,34.27,2019
WeCr0319,396.8,34.69,2019
WeCr0319,418.1,24.87,2019
WeCr0319,440.2,38.17,2019
WeCr0319,327.8,15.56,2019
WeCr0319,373.3,24.89,2019
WeCr0319,393.1,26.98,2019
WeCr0319,449.5,15.79,2019
WeCr0319,483.7,32.07,2019
WeCr0319,491.3,35.19,2019
WeCr0319,499.7,26.68,2019
WeCr0319,538,31.75,2019
WeCr0319,544,43.08,2019
WeCr0319,557,,2019
WeCr0319,566,,2019
WeCr0319,438.5,,2019
WeCr0319,529,,2019
WeCr0320,458.7,,2020
WeCr0320,524,,2020
WeCr0320,464.5,,2020
WeCr0320,552,19.46,2020
WeCr0320,439.1,35.19,2020
WeCr0320,545,57.63,2020
WeCr0320,487.5,63.09,2020
WeCr0320,558,76.65,2020
WeCr0320,615,75.42,2020
WeCr0320,637,89.26,2020
WeCr0320,545,50.98,2020
WeCr0320,480.2,45.78,2020
WeCr0320,530,60.44,2020
WeCr0320,582,72.59,2020
WeCr0320,640,65.38,2020
WeCr0320,646,,2020
WeCr0318,504,,2018
WeCr0318,408,,2018
WeCr0318,489,,2018
WeCr0318,492,,2018
WeCr0318,478.3,,2018
WeCr0318,509,,2018
WeCr0318,527,,2018
WeCr0318,478.6,,2018
WeCr0318,517,,2018
WeCr0321,559,50.16,2021
WeCr0321,486.3,45.56,2021
WeCr0321,486.6,31.52,2021
WeCr0321,220,10.67,2021
WeCr0321,515,31.79,2021
WeCr0321,402.2,37.08,2021
WeCr0321,523.8,41.25,2021
WeCr0321,546,41.04,2021
WeCr0321,465,26.29,2021
WeCr0321,291.6,11.76,2021
WeCr0321,471.3,30.74,2021
WeCr0321,486,31.57,2021
WeCr0321,558.3,39.32,2021
WeCr0321,525.1,31.69,2021
