Site,Conductivity,Chloride
WeCr1119,304.3,26.51
WeCr1119,485.1,66.72
WeCr1119,479.4,55.54
WeCr1119,388.1,33.26
WeCr1119,357.6,30.42
WeCr1119,484.2,37.01
WeCr1119,509.4,36.48
WeCr1119,563,51.97
WeCr1119,622,
WeCr1119,443.7,
WeCr1120,436,62.46
WeCr1120,510,
WeCr1120,539,
WeCr1120,557,
WeCr1120,507.5,26.99
WeCr1120,587,34.8
WeCr1120,509.7,52.12
WeCr1120,553,65.01
WeCr1120,648,73.03
WeCr1120,701,72.41
WeCr1120,477.5,48.12
WeCr1120,641,58.33
WeCr1120,696,72.69
WeCr1120,655,62.33
WeCr1121,659,79.14
WeCr1121,542,73.29
WeCr1121,602,65.37
WeCr1121,638,74.73
WeCr1121,475,36.34
WeCr1121,594,50.05
WeCr1121,497.7,37.45
WeCr1121,547,44.71
WeCr1121,594,50.31
WeCr1121,542,35.38
WeCr1121,375.8,28.41
WeCr1121,505.3,43.88
WeCr1121,515.6,50.6
WeCr1121,577.9,60.46
WeCr1121,529.3,38.32
