Site,Conductivity
WCOhRv0220,276.3
WCOhRv0220,244.2
WCOhRv0220,342.3
WCOhRv0220,331.1
WCOhRv0220,225.6
WCOhRv0220,243.9
WCOhRv0220,274.4
WCOhRv0220,196.1
WCOhRv0220,224.9
WCOhRv0220,294.1
WCOhRv0220,244.5
WCOhRv0220,271.5
WCOhRv0221,374.5
WCOhRv0221,313.8
WCOhRv0221,299.1
WCOhRv0221,235.6
WCOhRv0221,280
WCOhRv0221,249.5
WCOhRv0221,244.5
WCOhRv0221,279.7
WCOhRv0221,343
WCOhRv0221,434.2
WCOhRv0221,544.3
WCOhRv0219,311
WCOhRv0219,318
WCOhRv0219,324
WCOhRv0219,333
WCOhRv0219,339
WCOhRv0219,344
WCOhRv0219,351
WCOhRv0219,361
WCOhRv0219,390
WCOhRv0219,415
