Site,Conductivity
WCPrCr20,553.9
WCPrCr20,572.3
WCPrCr20,527.8
WCPrCr20,496.5
WCPrCr20,484
WCPrCr20,570.3
WCPrCr20,556.6
WCPrCr20,511
WCPrCr20,508
WCPrCr20,437.8
WCPrCr20,518.3
WCPrCr20,531.8
WCPrCr21,613.8
WCPrCr21,556.5
WCPrCr21,638.2
WCPrCr21,598.8
WCPrCr21,620.2
WCPrCr21,609.8
WCPrCr21,552
WCPrCr21,577.1
WCPrCr21,633.8
WCPrCr21,605.2
WCPrCr21,606.5
WCPrCr21,563.2
WCPrCr19,312
WCPrCr19,317
WCPrCr19,324
WCPrCr19,333
WCPrCr19,339
WCPrCr19,344
WCPrCr19,351
WCPrCr19,361
WCPrCr19,381
WCPrCr19,390
WCPrCr19,415
WCPrCr19,423
