Site,Conductivity
WCWeCr0720,455.9
WCWeCr0720,485.8
WCWeCr0720,385.5
WCWeCr0720,359.4
WCWeCr0720,367.2
WCWeCr0720,481.5
WCWeCr0720,431.4
WCWeCr0720,380.5
WCWeCr0720,390.2
WCWeCr0720,323.1
WCWeCr0720,494.5
WCWeCr0721,534.2
WCWeCr0721,546.9
WCWeCr0721,647.5
WCWeCr0721,627.7
WCWeCr0721,743.7
WCWeCr0721,732
WCWeCr0721,461.2
WCWeCr0721,548.5
WCWeCr0721,623.5
WCWeCr0721,587.1
WCWeCr0721,647.2
WCWeCr0719,312
WCWeCr0719,317
WCWeCr0719,324
WCWeCr0719,333
WCWeCr0719,339
WCWeCr0719,344
WCWeCr0719,351
WCWeCr0719,361
WCWeCr0719,390
WCWeCr0719,415
WCWeCr0719,423
