Site,Conductivity,Chloride
WrCr19,277.6,2
WrCr19,384,5.44
WrCr19,397.1,6.07
WrCr19,326.4,3.61
WrCr19,447.5,5.06
WrCr19,407.3,2.3
WrCr19,447.1,
WrCr19,486.8,
WrCr20,414.4,9.36
WrCr20,433.1,
WrCr20,444.7,
WrCr20,438.4,
WrCr20,433.7,2.82
WrCr20,420.7,3.07
WrCr20,470.1,8.89
WrCr20,484.8,7.76
WrCr20,476.7,11.6
WrCr20,475.7,10.31
WrCr20,390.7,5.44
WrCr20,453.1,4.99
WrCr20,481.2,7.94
WrCr20,465.5,7.11
WrCr20,445.3,5.63
WrCr21,454.3,10.55
WrCr21,454.8,22.66
WrCr21,452.7,6.61
WrCr21,470.5,8.61
WrCr21,450.2,4.06
WrCr21,320.5,2.25
WrCr21,457.9,4.85
WrCr21,449.5,5.43
WrCr21,220.1,1.88
WrCr21,322.6,5.36
WrCr21,410.3,6.7
WrCr21,436.1,6.02
WrCr21,483.9,7.45
